Name,Team,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,AVG,BB%,K%,OBP,SLG,OPS,wOBA,wRC+,EV,Barrel%,HardHit%,NameASCII,PlayerId,MLBAMID
"Akil Baddoo","DET",58,49,6,2,1,1,2,6,4,8,0,18,0,0.122448979,0.137931034,0.310344827,0.24137931,0.306122448,0.547501758,0.2464546150174634,56.76527450995968,91.80465698242188,0.125,0.53125,"Akil Baddoo",22168,668731
"Ji Hwan Bae","PIT",26,24,5,5,0,0,0,5,2,2,0,7,0,0.208333333,0.076923076,0.269230769,0.269230769,0.208333333,0.477564102,0.22345234568302447,39.89073870629106,89.77508544921875,0.05882353,0.52941176,"Ji Hwan Bae",23818,678225
"Graham Pauley","SDP",32,32,4,2,0,0,2,4,5,0,0,15,0,0.125,0,0.46875,0.125,0.3125,0.4375,0.18447783216834068,20.00104888955498,85.82839786305146,0.05882353,0.52941176,"Graham Pauley",31363,688363
"Cal Raleigh","SEA",309,270,54,32,8,0,14,30,50,33,2,100,2,0.2,0.106796116,0.323624595,0.288025889,0.385185185,0.673211074,0.29389443847954466,93.77878170927254,92.20047191112717,0.14942529,0.52873563,"Cal Raleigh",21534,663728
"Lars Nootbaar","STL",164,141,33,20,7,1,5,14,19,22,1,34,0,0.234042553,0.134146341,0.207317073,0.337423312,0.404255319,0.741678631,0.32708447362169807,114.3978440178457,92.05638266509433,0.09259259,0.52777778,"Lars Nootbaar",21454,663457
"Ryan McMahon","COL",359,316,85,54,17,0,14,46,43,38,2,102,1,0.268987341,0.105849582,0.284122562,0.347338935,0.455696202,0.803035137,0.34872626082997926,111.63133954223498,93.7183758031542,0.12844037,0.52752294,"Ryan McMahon",15112,641857
"Oneil Cruz","PIT",307,283,67,39,15,1,12,36,36,23,3,100,0,0.236749116,0.074918566,0.325732899,0.293159609,0.424028268,0.717187877,0.30815878373227623,97.69729474871724,95.02805494225544,0.17391304,0.52717391,"Oneil Cruz",21711,665833
"Marco Luciano","SFG",27,24,9,6,2,1,0,6,1,3,0,5,0,0.375,0.111111111,0.185185185,0.444444444,0.541666666,0.98611111,0.42633394841794614,183.56346590785435,86.08965100740132,0,0.52631579,"Marco Luciano",25616,682617
"Kyle Stowers","BAL",36,35,10,5,4,0,1,3,9,0,0,13,0,0.285714285,0,0.361111111,0.277777777,0.485714285,0.763492062,0.3206009517113368,110.12714707751323,91.13806683084239,0.26086957,0.52173913,"Kyle Stowers",26151,669065
"Rafael Devers","BOS",313,272,78,41,16,3,18,50,47,35,5,72,2,0.286764705,0.111821086,0.230031948,0.36741214,0.56617647,0.93358861,0.39177517244568116,150.54179493595365,93.77998678482587,0.14215686,0.51960784,"Rafael Devers",17350,646240
"Brandon Marsh","PHI",238,207,55,38,9,1,7,26,31,28,0,75,0,0.265700483,0.117647058,0.31512605,0.348739495,0.420289855,0.76902935,0.3379023711220557,118.87474095015229,92.41958188657408,0.08148148,0.51851852,"Brandon Marsh",20202,669016
"Brent Rooker","OAK",296,264,69,36,15,2,16,30,48,29,1,101,2,0.261363636,0.097972972,0.341216216,0.337837837,0.515151515,0.852989352,0.36563409021345233,143.29131564896835,92.3509454083589,0.16463415,0.51829268,"Brent Rooker",19627,667670
"Jesús Sánchez","MIA",258,238,55,37,10,0,8,23,30,15,0,61,3,0.231092436,0.058139534,0.236434108,0.284046692,0.373949579,0.657996271,0.28967395853903505,86.04073956085799,93.80416887358757,0.12290503,0.51396648,"Jesus Sanchez",19913,660821
"Seiya Suzuki","CHC",262,233,61,37,11,2,11,32,34,21,0,74,5,0.261802575,0.080152671,0.282442748,0.332061068,0.467811158,0.799872226,0.3461797944917024,126.03684543496819,93.04825544945987,0.11728395,0.51234568,"Seiya Suzuki",30116,673548
"Austin Riley","ATL",297,268,67,41,14,2,10,42,32,26,0,69,3,0.25,0.087542087,0.232323232,0.323232323,0.429104477,0.7523368,0.32987009736423945,112.4961745216764,92.12403815954774,0.13567839,0.50753769,"Austin Riley",18360,663586
"Derek Hill","TEX",29,27,7,4,0,0,3,4,4,2,0,7,0,0.259259259,0.068965517,0.24137931,0.310344827,0.592592592,0.902937419,0.3835365854460618,148.60781160788633,90.092919921875,0.15,0.5,"Derek Hill",16947,656537
"Jakson Reetz","SFG",12,12,1,0,0,0,1,1,1,0,0,4,0,0.083333333,0,0.333333333,0.083333333,0.333333333,0.416666666,0.17217594385147095,10.11739412213442,87.38861846923828,0.125,0.5,"Jakson Reetz",17837,656883
"Sam Hilliard","COL",8,5,0,0,0,0,0,2,0,2,0,2,0,0,0.25,0.25,0.285714285,0,0.285714285,0.19744157791137695,8.389523419474408,96.52655029296875,0,0.5,"Sam Hilliard",17954,656541
