id,Name,Team,swings_competitive,avg_bat_speed,swing_length,hard_swing_rate,squared_up_per_swing,blast_per_swing,whiff_per_swing,PA,AB,AVG,SLG,HR%,BB%,K%,wRC+,EV,Barrel%,HardHit%
519317,Giancarlo Stanton,NYY,424,80.73858412735852,8.399277311320754,0.981132075471698,0.2075471698113207,0.1886792452830188,0.3066037735849056,281,260,0.246153846,0.492307692,0.06923076923076923,0.071174377,0.320284697,124.87437401674195,94.33186848958331,0.19411765,0.54117647
665833,Oneil Cruz,PIT,400,78.10580955000005,7.6466407,0.7475,0.2275,0.155,0.3125,307,283,0.236749116,0.424028268,0.04240282685512368,0.074918566,0.325732899,97.69729474871724,95.02805494225544,0.17391304,0.52717391
656941,Kyle Schwarber,PHI,468,77.13645959401711,7.820547173447538,0.75,0.2371794871794871,0.1581196581196581,0.3012820512820512,367,300,0.25,0.446666666,0.056666666666666664,0.160762942,0.28065395,133.30639054359176,93.2535098236386,0.11386139,0.53960396
592450,Aaron Judge,NYY,521,76.86497857965449,8.191792610364683,0.7312859884836852,0.2571976967370441,0.1996161228406909,0.3051823416506717,374,305,0.321311475,0.718032786,0.10491803278688525,0.163101604,0.248663101,217.9908168301532,97.08031431686048,0.28837209,0.62790698
656305,Matt Chapman,SFG,523,76.77999126195022,7.409663231357552,0.6711281070745697,0.1912045889101338,0.1281070745697896,0.2390057361376673,358,319,0.238244514,0.40752351,0.034482758620689655,0.097765363,0.237430167,109.54776106766492,92.39197716346152,0.11914894,0.47659574
660670,Ronald Acuña Jr.,ATL,323,76.71161953560379,7.611816408668729,0.7306501547987616,0.2229102167182662,0.1269349845201238,0.2476780185758514,222,192,0.25,0.364583333,0.020833333333333332,0.121621621,0.238738738,108.03545933680778,92.17876047327898,0.09352518,0.47482014
666176,Jo Adell,LAA,450,76.70994260000005,7.664342933333333,0.66,0.18,0.1088888888888888,0.2977777777777777,254,230,0.186956521,0.395652173,0.05652173913043478,0.062992125,0.29527559,76.70976694587046,89.45182291666667,0.12578616,0.43396226
666624,Christopher Morel,CHC,507,76.3692700394477,8.014138441814595,0.6844181459566074,0.2189349112426035,0.136094674556213,0.2958579881656805,349,297,0.195286195,0.37037037,0.050505050505050504,0.11747851,0.223495702,93.68570085542392,89.96044702914799,0.11659193,0.44843049
670541,Yordan Alvarez,HOU,486,75.87379504115226,7.56677744855967,0.5596707818930041,0.2777777777777778,0.1790123456790123,0.1851851851851851,356,313,0.2971246,0.536741214,0.05750798722044728,0.098314606,0.148876404,153.56638255935374,92.898333134542,0.13688213,0.47148289
683002,Gunnar Henderson,BAL,551,75.84925152450093,7.241944646098003,0.6188747731397459,0.2722323049001814,0.1742286751361161,0.2395644283121597,384,330,0.287878787,0.6,0.07878787878787878,0.119791666,0.236979166,175.83067424825848,94.03501037344398,0.13278008,0.57676349
677594,Julio Rodríguez,SEA,633,75.67146699842017,7.898640173775671,0.5734597156398104,0.2022116903633491,0.1342812006319115,0.3001579778830964,364,340,0.244117647,0.323529411,0.020588235294117647,0.06043956,0.269230769,81.90374581408349,91.04924780475208,0.08264463,0.47107438
624585,Jorge Soler,SFG,437,75.60968798627007,7.994880892448512,0.5995423340961098,0.217391304347826,0.0938215102974828,0.2814645308924485,302,266,0.229323308,0.406015037,0.03759398496240601,0.09602649,0.238410596,106.71298164720406,90.05381503807106,0.0959596,0.37878788
660271,Shohei Ohtani,LAD,547,75.54402223034738,7.640938171846435,0.5667276051188299,0.2797074954296161,0.1919561243144424,0.2797074954296161,380,328,0.320121951,0.646341463,0.08231707317073171,0.118421052,0.205263157,191.10765074988095,95.46206907242065,0.19215686,0.6
671218,Heliot Ramos,SFG,355,75.48687760563382,6.927146355932203,0.6056338028169014,0.2197183098591549,0.1549295774647887,0.2591549295774648,217,191,0.298429319,0.523560209,0.05759162303664921,0.105990783,0.267281105,154.3573599298907,92.53633840460526,0.17037037,0.53333333
665742,Juan Soto,NYY,469,75.39848364605544,7.268793326226013,0.5906183368869936,0.3155650319829424,0.1961620469083155,0.2025586353944563,375,297,0.299663299,0.562289562,0.06734006734006734,0.192,0.16,183.1003289549863,94.42414683577404,0.18257261,0.57676349
665489,Vladimir Guerrero Jr.,TOR,525,75.39846809523809,7.669521828571427,0.5276190476190477,0.2723809523809524,0.1828571428571428,0.2114285714285714,368,326,0.297546012,0.472392638,0.03987730061349693,0.108695652,0.160326086,144.25640762172466,94.43385170990568,0.13483146,0.57303371
663624,Ryan Mountcastle,BAL,568,75.27768137323937,7.502745387323943,0.5387323943661971,0.2112676056338028,0.1267605633802817,0.2147887323943662,325,300,0.273333333,0.46,0.03666666666666667,0.061538461,0.209230769,119.75960515336624,91.51879155585108,0.09745763,0.48728814
641933,Tyler O'Neill,BOS,357,75.16382764705885,7.546893193277312,0.495798319327731,0.1988795518207282,0.1372549019607843,0.3137254901960784,247,214,0.257009345,0.528037383,0.07476635514018691,0.121457489,0.323886639,137.14594520035814,91.46396846064816,0.16296296,0.48888889
572233,Christian Walker,ARI,585,75.15004726495724,7.518821743589743,0.5572649572649572,0.2017094017094017,0.1264957264957265,0.229059829059829,363,321,0.258566978,0.479750778,0.056074766355140186,0.09090909,0.245179063,126.40326743153793,91.18262954905065,0.15611814,0.48101266
663586,Austin Riley,ATL,459,75.08519755991283,7.511730501089325,0.531590413943355,0.233115468409586,0.1590413943355119,0.2592592592592592,297,268,0.25,0.429104477,0.03731343283582089,0.087542087,0.232323232,112.4961745216764,92.12403815954774,0.13567839,0.50753769
