"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
519317,"Stanton, Giancarlo","424","0.91576673866090712743","294",80.73858412735852,"0.98113207547169811321",0.29931972789115646,0.20754716981132076,0.272108843537415,0.18867924528301888,"8.3992773113207547","4",5.345974056344717,"130",0.30660377358490565,"151",0.3561320754716981
670242,"Wallner, Matt","32","0.88888888888888888889","18",78.4094703125,"0.90625000000000000000",0.1111111111111111,0.0625,0.1111111111111111,0.0625,"7.3262490625000000","1",0.5990693475478379,"14",0.4375,"6",0.1875
678877,"Noel, Jhonkensy","30","0.90909090909090909091","23",78.18145066666665,"0.76666666666666666667",0.17391304347826086,0.13333333333333333,0.13043478260869565,0.1,"7.9587510000000000","0",1.5225159476786725,"7",0.23333333333333334,"6",0.2
665833,"Cruz, Oneil","400","0.91116173120728929385","275",78.10580955000005,"0.74750000000000000000",0.33090909090909093,0.2275,0.22545454545454546,0.155,"7.6466407000000000","3",-10.818705670680199,"125",0.3125,"136",0.34
672744,"Canario, Alexander","36","0.90000000000000000000","21",77.5653827777778,"0.80555555555555555556",0.23809523809523808,0.1388888888888889,0.09523809523809523,0.05555555555555555,"8.0235172222222222","2",-0.6171385895632644,"15",0.4166666666666667,"10",0.2777777777777778
665856,"Camargo, Jair","7","0.87500000000000000000","4",77.41968857142855,"0.85714285714285714286",0,0,0,0,"7.9168557142857143","0",-1.2244235206678953,"3",0.42857142857142855,"2",0.2857142857142857
656941,"Schwarber, Kyle","468","0.90173410404624277457","327",77.13645959401711,"0.75000000000000000000",0.3394495412844037,0.23717948717948717,0.22629969418960244,0.1581196581196581,"7.8205471734475375","18",-4.172774267843081,"141",0.30128205128205127,"169",0.3611111111111111
677588,"Tena, José","4","0.80000000000000000000","3",77.0954525,"0.75000000000000000000",0.3333333333333333,0.25,0,0,"7.5906875000000000","0",-0.6772844630961075,"1",0.25,"1",0.25
592450,"Judge, Aaron","521","0.90766550522648083624","362",76.86497857965449,"0.73128598848368522073",0.3701657458563536,0.2571976967370441,0.287292817679558,0.19961612284069097,"8.1917926103646833","4",34.36134603551479,"159",0.30518234165067176,"179",0.3435700575815739
656305,"Chapman, Matt","523","0.90484429065743944637","398",76.77999126195022,"0.67112810707456978967",0.25125628140703515,0.19120458891013384,0.16834170854271358,0.12810707456978968,"7.4096632313575526","11",-9.09257595978714,"125",0.2390057361376673,"179",0.3422562141491396
660670,"Acuña Jr., Ronald","323","0.90223463687150837989","243",76.71161953560379,"0.73065015479876160991",0.2962962962962963,0.22291021671826625,0.16872427983539096,0.12693498452012383,"7.6118164086687307","10",-8.74805610620059,"80",0.2476780185758514,"108",0.33436532507739936
666176,"Adell, Jo","450","0.90543259557344064386","316",76.70994260000005,"0.66000000000000000000",0.2563291139240506,0.18,0.1550632911392405,0.10888888888888888,"7.6643429333333333","8",-10.335121652552107,"134",0.29777777777777775,"142",0.31555555555555553
691023,"Walker, Jordan","86","0.89583333333333333333","63",76.46471895348836,"0.69767441860465116279",0.2698412698412698,0.19767441860465115,0.15873015873015872,0.11627906976744186,"8.0410175581395349","2",-4.93744162329951,"23",0.26744186046511625,"28",0.32558139534883723
593934,"Sanó, Miguel","132","0.89795918367346938776","85",76.39779431818185,"0.62121212121212121212",0.3058823529411765,0.19696969696969696,0.18823529411764706,0.12121212121212122,"8.0040974242424242","6",-4.816675425165892,"47",0.3560606060606061,"36",0.2727272727272727
666624,"Morel, Christopher","507","0.90697674418604651163","357",76.3692700394477,"0.68441814595660749507",0.31092436974789917,0.21893491124260356,0.19327731092436976,0.13609467455621302,"8.0141384418145957","11",-13.783399395951903,"150",0.2958579881656805,"188",0.3708086785009862
671286,"Rodriguez, Johnathan","65","0.91549295774647887324","40",76.31373476923075,"0.66153846153846153846",0.275,0.16923076923076924,0.2,0.12307692307692308,"8.2839260000000000","2",-4.201644316494608,"25",0.38461538461538464,"17",0.26153846153846155
668723,"Vilade, Ryan","12","1.00000000000000000000","9",76.28658750000001,"0.58333333333333333333",0.5555555555555556,0.4166666666666667,0.2222222222222222,0.16666666666666666,"7.6219491666666667","0",-0.155587684480352,"3",0.25,"8",0.6666666666666666
682619,"Martinez, Orelvis","5","0.83333333333333333333","2",76.190822,"0.60000000000000000000",0,0,0,0,"8.1027080000000000","0",-0.41854770550500736,"3",0.6,"1",0.2
670541,"Alvarez, Yordan","486","0.91525423728813559322","396",75.87379504115226,"0.55967078189300411523",0.3409090909090909,0.2777777777777778,0.2196969696969697,0.17901234567901234,"7.5667774485596708","0",9.207336158831493,"90",0.18518518518518517,"219",0.4506172839506173
683002,"Henderson, Gunnar","551","0.90774299835255354201","419",75.84925152450093,"0.61887477313974591652",0.35799522673031026,0.27223230490018147,0.22911694510739858,0.17422867513611615,"7.2419446460980036","9",10.125361233524332,"132",0.2395644283121597,"216",0.39201451905626133
677594,"Rodríguez, Julio","633","0.90557939914163090129","443",75.67146699842017,"0.57345971563981042654",0.28893905191873587,0.20221169036334913,0.19187358916478556,0.13428120063191154,"7.8986401737756714","19",-16.56429835957883,"190",0.3001579778830964,"199",0.31437598736176936
663550,"Cabbage, Trey","82","0.90109890109890109890","52",75.65488280487806,"0.56097560975609756098",0.34615384615384615,0.21951219512195122,0.21153846153846154,0.13414634146341464,"7.8117778048780488","1",-2.670638363560845,"30",0.36585365853658536,"29",0.35365853658536583
